mcc_description,gender,amount
"Авиалинии, авиакомпании",0.0,-269822.97
"Авиалинии, авиакомпании",1.0,-232407.36
"Авиалинии, авиакомпании, нигде более не классифицированные",0.0,-128129.49
"Авиалинии, авиакомпании, нигде более не классифицированные",1.0,-194629.26
Автобусные линии,0.0,-31038.56
Автобусные линии,1.0,-18683.32
Автозапчасти и аксессуары,0.0,-14205.42
Автозапчасти и аксессуары,1.0,-13475.49
Автоматизированные бензозаправки,0.0,-18360.36
Автоматизированные бензозаправки,1.0,-29196.01
Автомойки,0.0,-11229.58
Автомойки,1.0,-10106.62
Автошины,0.0,-197640.59
Автошины,1.0,-65580.74
"Агентства по автотранспортным перевозкам, местные/дальные автогрузоперевозки, компании попереезду и хранению, местная доставка",0.0,-63784.005000000005
"Агентства по автотранспортным перевозкам, местные/дальные автогрузоперевозки, компании попереезду и хранению, местная доставка",1.0,-39175.51
Агентства по аренде автомобилей,0.0,-84959.85
Агентства по аренде автомобилей,1.0,-832370.3
Аксессуары для женщин,0.0,-18459.745000000003
Аксессуары для женщин,1.0,-35405.51
Аптеки,0.0,-8056.215
Аптеки,1.0,-8046.555
"Ассоциации — гражданские, социальные и братские",0.0,-1572.14
"Ассоциации — гражданские, социальные и братские",1.0,-2582.8
"Бакалейные магазины, супермаркеты",0.0,-8534.48
"Бакалейные магазины, супермаркеты",1.0,-7770.87
"Бары, коктейль-бары, дискотеки, ночные клубы и таверны — места продажи алкогольных напитков",0.0,-9387.93
"Бары, коктейль-бары, дискотеки, ночные клубы и таверны — места продажи алкогольных напитков",1.0,-13475.49
Беспошлинные магазины Duty Free,0.0,-69235.295
Беспошлинные магазины Duty Free,1.0,-57312.399999999994
Бизнес-сервис,0.0,-1568.66
Бизнес-сервис,1.0,-6266.11
Билльярд-клубы,0.0,-15227.310000000001
Билльярд-клубы,1.0,-23075.66
Больницы,0.0,-65646.32
Больницы,1.0,-21897.68
Боулинг-клубы,0.0,-17686.585
Боулинг-клубы,1.0,-24109.91
Булочные,0.0,-4453.76
Булочные,1.0,-2021.32
Бытовое оборудование,0.0,-18829.76
Бытовое оборудование,1.0,-46220.95
Ветеринарные услуги,0.0,-19651.760000000002
Ветеринарные услуги,1.0,-47770.63
Видеопрокат,0.0,-5592.33
Видеопрокат,1.0,-3346.41
Галереи и художественные посредники,0.0,-31756.575
Галереи и художественные посредники,1.0,-236865.73
Галереи/учреждения видеоигр,0.0,-3612.78
Галереи/учреждения видеоигр,1.0,-7860.71
"Генеральные подрядчики по вентиляции, теплоснабжению, и водопроводу",0.0,-674897.69
"Генеральные подрядчики по вентиляции, теплоснабжению, и водопроводу",1.0,-14912.88
"Горючее топливо — уголь, нефть, разжиженный бензин, дрова",0.0,-11635.189999999999
"Горючее топливо — уголь, нефть, разжиженный бензин, дрова",1.0,-14553.53
Готовая женская одежда,0.0,-40426.48
Готовая женская одежда,1.0,-43031.744999999995
"Дантисты, ортодонтисты",0.0,-53901.98
"Дантисты, ортодонтисты",1.0,-45367.5
Денежные переводы,0.0,-22459.16
Денежные переводы,1.0,-65837.895
Денежные переводы MasterCard MoneySend,0.0,13475.49
Денежные переводы MasterCard MoneySend,1.0,44918.32
"Детская одежда, включая одежду для самых маленьких",0.0,-21520.364999999998
"Детская одежда, включая одежду для самых маленьких",1.0,-22436.7
Дилеры по продаже печатной продукции,0.0,-14994.63
Дилеры по продаже печатной продукции,1.0,-4040.4
"Доктора, нигде ранее не классифицируемые",0.0,-56703.755000000005
"Доктора, нигде ранее не классифицируемые",1.0,-26726.4
"Дорожный и мостовой сборы, пошлины",0.0,-12147.26
"Дорожный и мостовой сборы, пошлины",1.0,-3368.87
"Драгоценные камни и металлы, часы и ювелирные изделия",0.0,-29511.33
"Драгоценные камни и металлы, часы и ювелирные изделия",1.0,-125838.66
"Жилье — отели, мотели, курорты",0.0,-108093.9
"Жилье — отели, мотели, курорты",1.0,-84895.62
